date,Min,Avg,Max
2016-02-16 23:00:00,66,2150,4622
2016-02-16 22:00:00,66,1323,5259
2016-02-16 21:00:00,66,1746,5236
2016-02-16 20:00:00,66,1665,5236
2016-02-16 19:00:00,67,1903,5304
2016-02-16 18:00:00,66,1635,5291
2016-02-16 17:00:00,66,1785,5290
2016-02-16 16:00:00,66,1967,5221
2016-02-16 15:00:00,65,2005,5260
2016-02-16 14:00:00,475,1841,4417
2016-02-16 13:00:00,622,1215,1946
2016-02-16 09:00:00,855,2979,4407
2016-02-16 08:00:00,621,2318,4044
2016-02-16 07:00:00,668,2386,5230
2016-02-16 06:00:00,468,1656,5275
2016-02-16 05:00:00,632,2433,5241
2016-02-16 04:00:00,67,1727,4573
2016-02-16 03:00:00,468,1807,5167
2016-02-16 02:00:00,66,1787,5260
2016-02-16 01:00:00,67,1897,5249
2016-02-16 00:00:00,518,1506,5230
2016-02-15 23:00:00,467,1748,5259
2016-02-15 22:00:00,65,1688,5409
2016-02-15 21:00:00,518,1870,5180
2016-02-15 20:00:00,66,1602,5334
2016-02-15 19:00:00,519,1579,5279
2016-02-15 18:00:00,67,1632,5243
2016-02-15 17:00:00,75,1667,5262
2016-02-15 16:00:00,67,1782,5232
2016-02-15 15:00:00,467,2117,5236
2016-02-15 14:00:00,618,2138,5240
2016-02-15 13:00:00,746,909,1073
2016-02-15 11:00:00,682,1194,1706
2016-02-15 10:00:00,621,1127,2147
2016-02-15 09:00:00,1682,3097,4538
2016-02-15 08:00:00,2073,3340,4608
2016-02-14 17:00:00,567,1697,5231
2016-02-14 16:00:00,1131,2979,5229
2016-02-14 15:00:00,1280,2901,4378
2016-02-14 14:00:00,1023,1075,1127
2016-02-14 13:00:00,1821,1923,2025
2016-02-14 11:00:00,568,780,992
2016-02-14 09:00:00,1522,1772,2351
2016-02-14 08:00:00,1177,1915,3729
2016-02-14 07:00:00,3988,4013,4038
2016-02-14 06:00:00,718,3214,5234
2016-02-14 05:00:00,620,2582,4427
2016-02-14 04:00:00,567,969,1372
2016-02-14 03:00:00,521,1958,4444
2016-02-14 02:00:00,568,1386,2228
2016-02-14 01:00:00,566,1906,5234
2016-02-14 00:00:00,66,2342,5202
2016-02-13 23:00:00,518,1168,2729
2016-02-13 22:00:00,822,1386,2328
2016-02-13 21:00:00,572,1917,4459
2016-02-13 20:00:00,622,1491,3631
2016-02-13 19:00:00,671,1625,4385
2016-02-13 18:00:00,821,2812,5254
2016-02-13 17:00:00,718,1475,3825
2016-02-13 16:00:00,773,2065,4444
2016-02-13 15:00:00,470,1905,5245
2016-02-13 14:00:00,617,2065,4381
2016-02-13 13:00:00,1018,2149,4129
2016-02-13 11:00:00,589,1436,2881
2016-02-13 10:00:00,1221,3343,4442
2016-02-13 04:00:00,768,1007,1246
2016-02-13 03:00:00,570,1863,4457
2016-02-13 02:00:00,519,2154,5229
2016-02-13 01:00:00,517,1806,5231
2016-02-13 00:00:00,475,1822,4027
2016-02-12 23:00:00,516,1982,5240
2016-02-12 22:00:00,668,2087,5235
2016-02-12 21:00:00,66,1619,5237
2016-02-12 20:00:00,521,2050,5235
2016-02-12 19:00:00,67,1498,4440
2016-02-12 18:00:00,567,1838,5235
2016-02-12 17:00:00,918,3250,5242
2016-02-12 16:00:00,66,1728,3731
2016-02-12 15:00:00,518,2229,5189
2016-02-12 14:00:00,787,1514,2075
2016-02-12 09:00:00,1121,1426,1732
2016-02-12 06:00:00,791,1993,4430
2016-02-12 05:00:00,2024,3128,5190
2016-02-12 04:00:00,1371,2038,2573
2016-02-12 03:00:00,677,1806,2643
2016-02-12 02:00:00,870,2808,5231
2016-02-12 01:00:00,621,1152,1799
2016-02-12 00:00:00,567,2562,4382
2016-02-11 23:00:00,65,1613,5197
2016-02-11 22:00:00,971,1808,3580
2016-02-11 21:00:00,66,998,2324
2016-02-11 20:00:00,618,2031,5184
2016-02-11 19:00:00,66,1248,3044
2016-02-11 18:00:00,521,1490,4491
2016-02-11 17:00:00,668,1886,4380
2016-02-11 16:00:00,1172,1227,1282
2016-02-11 15:00:00,482,990,1473
2016-02-11 14:00:00,1837,2179,2522
2016-02-11 07:00:00,821,1251,2181
2016-02-11 05:00:00,870,997,1125
2016-02-11 04:00:00,669,1697,5183
2016-02-11 03:00:00,1023,1338,1675
2016-02-11 02:00:00,467,1959,4435
2016-02-11 01:00:00,520,910,1425
2016-02-11 00:00:00,517,1989,4427
2016-02-10 23:00:00,467,1830,5232
2016-02-10 22:00:00,68,1120,2644
2016-02-10 21:00:00,620,1252,1972
2016-02-10 20:00:00,520,1210,2374
2016-02-10 19:00:00,670,2080,5232
2016-02-10 18:00:00,516,1479,4440
2016-02-10 17:00:00,566,1321,3125
2016-02-10 16:00:00,923,1718,5228
2016-02-10 15:00:00,635,1392,1972
2016-02-10 14:00:00,64,831,1434
2016-02-10 07:00:00,2577,3808,5235
2016-02-10 06:00:00,568,2399,5280
2016-02-10 05:00:00,2573,2823,3073
2016-02-10 04:00:00,868,1394,1821
2016-02-10 03:00:00,921,1814,2896
2016-02-10 02:00:00,1321,1346,1371
2016-02-10 01:00:00,1020,1344,1669
2016-02-10 00:00:00,680,3077,4378
2016-02-09 23:00:00,616,1921,4128
2016-02-09 22:00:00,64,1315,3023
2016-02-09 21:00:00,65,2056,5237
2016-02-09 20:00:00,518,1610,4379
2016-02-09 19:00:00,64,1377,4481
2016-02-09 18:00:00,64,1659,4480
2016-02-09 17:00:00,517,1325,2297
2016-02-09 16:00:00,516,2246,5240
2016-02-09 15:00:00,523,2676,5233
2016-02-09 14:00:00,1021,1096,1171
2016-02-09 13:00:00,917,2123,3730
2016-02-09 09:00:00,721,1023,1325
2016-02-09 07:00:00,2071,2175,2280
2016-02-09 04:00:00,4326,4352,4379
2016-02-09 03:00:00,2020,2506,3225
2016-02-09 02:00:00,465,1094,1920
2016-02-09 01:00:00,719,2049,5243
2016-02-09 00:00:00,719,2053,5235
2016-02-08 23:00:00,717,1717,5230
2016-02-08 22:00:00,516,2643,5179
2016-02-08 21:00:00,468,2083,5278
2016-02-08 20:00:00,64,2089,5239
2016-02-08 19:00:00,517,2632,5330
2016-02-08 18:00:00,620,2010,4428
2016-02-08 17:00:00,720,1853,4028
2016-02-08 16:00:00,1072,2779,4480
2016-02-08 15:00:00,618,936,1522
2016-02-08 14:00:00,1120,1171,1223
2016-02-08 13:00:00,72,2589,4430
2016-02-08 09:00:00,874,990,1106
2016-02-08 07:00:00,67,890,1647
2016-02-08 05:00:00,717,1262,1837
2016-02-08 04:00:00,1023,2200,2873
2016-02-08 03:00:00,669,1855,5279
2016-02-08 01:00:00,820,1744,3484
